,Bold: ABA All-Time Team ,,HOF,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,50%,60%,70%,80%,90%,100%,110%,120%,130%,140%,150%
67-70,First Name,Last Name,Pos,TEAM,Born,1st Yr,YRS,College,PPG,REB/G,AST/G,3-PT/G,,,,,,,,,,,,,,,,,,
12 T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Charlie ""Great""",Scott,GF,Pho Bos Vir,Nyc,70,2,North Carolina,31,5,5,1,,,,,,,,,,,,,,,,,,
2,"Spencer ""Woody""",Haywood,FC,Sea Nyk Was Den,MS,69,1,Detroit,30,20,2,0,,,,,,,,,,,,,,,,,,
3,"Connie ""The Man""",Hawkins,FC,PHO min lal,Bkn,67,2,Iowa,28,13,4,0,,,,,,,,,,,,,,,,,,
4,"Dan ""Horse""",Issel,CF,DEN KEN,IL,70,6,Kentucky,26,11,2,0,,,,,,,,,,,,,,,,,,
5,Johnny,Brisker,FG,Pit Sea,Det,69,3,Toledo,26,8,3,1,,,,,,,,,,,,,,,,,,
6,George,Mikan,C,MIN,IL,0,0,DePaul,23,13,3,0,,,,,,,,,,,,,,,,,,
7,Larry,Jones,GF,DEN Flo,OH,67,6,Toledo,21,5,4,0,,,,,,,,,,,,,,,,,,
8,Bob,Verga,G,HOU Pit,NJ,67,5,Duke,21,4,3,1,,,,,,,,,,,,,,,,,,
9,Mack,Calvin,G,FLO Den Car,CA / TX,69,7,USC,20,3,6,1,,,,,,,,,,,,,,,,,,
10,Darel,Carrier,G,KEN,KY,67,6,Western Kentucky,20,3,3,1,,,,,,,,,,,,,,,,,,
11,Donnie,Freeman,G,MEM Dal Ind,IL,67,8,Illinois,20,4,4,0,,,,,,,,,,,,,,,,,,
12,"George ""Tipper""",Thompson,G,PIT Mem,Bkn,69,6,Marquette,20,4,4,1,,,,,,,,,,,,,,,,,,
13,Ralph,Simpson,GF,DEN Det,MI,70,6,Michigan State,20,5,4,0,,,,,,,,,,,,,,,,,,
14,"Louie ""King""",Dampier,G,KEN,Indy,67,9,Kentucky,19,3,6,1,,,,,,,,,,,,,,,,,,
15,"Mel ""Big D""",Daniels,C,IND,Det,67,8,New Mexico  ,19,15,2,0,,,,,,,,,,,,,,,,,,
16,"James ""Jimmy""",Jones,GF,MEM Uta Was,LA,67,7,Grambling,19,5,5,0,,,,,,,,,,,,,,,,,,
17,"Zelmo ""Big Z""",Beaty,C,STL Uta,TX,70,4,Prairie View A&M,19,12,2,0,,,,,,,,,,,,,,,,,,
18,"Levern ""Jelly"" ""Doc""",Tart,GF,NJN oak,SC,67,4,Bradley,19,5,3,0,,,,,,,,,,,,,,,,,,
19,"""Wondrous"" Willie",Wise,F,UT,SF,69,7,Drake,19,9,3,0,,,,,,,,,,,,,,,,,,
20,George,Carter,FG,VIR,Buff,67,7,St. Bonaventure,18,7,2,0,,,,,,,,,,,,,,,,,,
21,"Dave ""Chico""",Vaughn,G,STL Pit,OR,67,3,Southern Illinois,18,3,2,1,,,,,,,,,,,,,,,,,,
22,Ron,Boone (6),GF,UTA Dal kc,OKC/OMA,68,8,Idaho State,18,5,4,0,,,,,,,,,,,,,,,,,,
23,"Larry ""Brinks""",Cannon,G,DEN Mem,Philly,69,4,LaSalle,18,3,4,0,,,,,,,,,,,,,,,,,,
24,"Roger ""The Rajah""",Brown,FG,IND,Bkn,67,8,Dayton,17,6,4,1,,,,,,,,,,,,,,,,,,
25,"Freddie ""Fritz""",Lewis,G,IND,WV,67,9,Arizona State,17,4,4,1,,,,,,,,,,,,,,,,,,
26,Stew,Johnson,F,SD PIT Car,PA,67,9,Murray State,17,7,2,1,,,,,,,,,,,,,,,,,,
27,Glen,Combs,G,UTA Dal,KY,68,7,Virginia Tech,17,3,4,1,,,,,,,,,,,,,,,,,,
28,"Warren ""Batman""",Jabali,GF,DEN Was,KC,68,7,Wichita State,17,7,5,1,,,,,,,,,,,,,,,,,,
29,"Joe ""Jumpin""",Caldwell,FG,Atl Stl,TX/IN,70,5,Arizona State,17,6,4,0,,,,,,,,,,,,,,,,,,
30,Dave,Debusschere,F,NY,Det,0,0,Detroit Mercy,16,11,3,0,,,,,,,,,,,,,,,,,,
31,"Steve ""Snapper""",Jones,G,NO Car,LA,67,8,Oregon,16,4,2,1,,,,,,,,,,,,,,,,,,
